Country,Year,Total_cases,Deaths,Region,Population
Afghanistan,2017,161778.0,10.0,Eastern Mediterranean,38928341.0
Algeria,2017,0.0,0.0,Africa,43851043.0
Angola,2017,3874892.0,13967.0,Africa,32866268.0
Argentina,2017,1000000.0,1.0,Americas,45195777.0
Armenia,2017,0.0,,Europe,2963234.0
Azerbaijan,2017,0.0,,Europe,10139175.0
Bangladesh,2017,4893.0,13.0,South-East Asia,164689383.0
Belize,2017,7.0,0.0,Americas,397621.0
Benin,2017,1573163.0,2182.0,Africa,12123198.0
Bhutan,2017,24.0,1.0,South-East Asia,771612.0
Bolivia (Plurinational State of),2017,4572.0,0.0,Americas,11673029
Botswana,2017,1900.0,17.0,Africa,2351625.0
Brazil,2017,189503.0,30.0,Americas,212559409.0
Burkina Faso,2017,10225459.0,4144.0,Africa,20903278.0
Burundi,2017,7670177.0,4414.0,Africa,11890781.0
Cabo Verde,2017,423.0,2.0,Africa,548800.0
Cambodia,2017,36932.0,1.0,Western Pacific,16718971.0
Cameroon,2017,1191257.0,3195.0,Africa,26545864.0
Central African Republic,2017,383309.0,3689.0,Africa,4829764.0
Chad,2017,1962372.0,2088.0,Africa,16425859.0
China,2017,10000000.0,7.0,Western Pacific,1439323774.0
Colombia,2017,52805.0,19.0,Americas,50882884.0
Comoros,2017,2274.0,3.0,Africa,869595.0
Congo,2017,127939.0,229.0,Americas,5518092
Costa Rica,2017,12.0,0.0,Americas,5094114.0
Côte d'Ivoire,2017,3274683.0,3222.0,Africa,25070000
South Korea,2017,4575.0,0.0,Western Pacific,51640000
Democratic Republic of the Congo,2017,15176927.0,27458.0,Africa,51640000
Djibouti,2017,14671.0,,Eastern Mediterranean,988002.0
Dominican Republic,2017,341.0,1.0,Americas,10847904.0
Ecuador,2017,1275.0,1.0,Americas,17643060.0
Egypt,2017,0.0,,Eastern Mediterranean,102334403.0
El Salvador,2017,0.0,0.0,Americas,6486201.0
Equatorial Guinea,2017,15725.0,,Africa,1402985.0
Eritrea,2017,31486.0,8.0,Africa,3546427.0
Eswatini,2017,724.0,20.0,Africa,1160164.0
Ethiopia,2017,1530739.0,356.0,Africa,114963583.0
Gabon,2017,35244.0,218.0,Africa,2225728.0
Gambia,2017,69931.0,54.0,Africa,2416664.0
Georgia,2017,0.0,,Europe,3989175.0
Ghana,2017,4348694.0,599.0,Africa,31072945.0
Guatemala,2017,3743.0,0.0,Americas,17915567.0
Guinea,2017,1335323.0,1174.0,Africa,13132792.0
Guinea-Bissau,2017,89784.0,296.0,Africa,1874000.0
Guyana,2017,13936.0,11.0,Americas,786559.0
Haiti,2017,19135.0,12.0,Americas,11402533.0
Honduras,2017,1277.0,1.0,Americas,9904608.0
India,2017,844558.0,194.0,South-East Asia,1380004385.0
Indonesia,2017,261617.0,47.0,South-East Asia,273523621.0
Iran (Islamic Republic of),2017,57.0,1.0,Eastern Mediterranean,40222503
Iraq,2017,0.0,,Eastern Mediterranean,40222503.0
Kazakhstan,2017,0.0,,Europe,18776707.0
Kenya,2017,3215116.0,,Africa,53771300.0
Kyrgyzstan,2017,0.0,,Europe,6524191.0
Lao People's Democratic Republic,2017,9333.0,2.0,Western Pacific,7275556
Liberia,2017,,758.0,Africa,5057677.0
Madagascar,2017,800661.0,370.0,Africa,27691019.0
Malawi,2017,4901344.0,3613.0,Africa,19129955.0
Malaysia,2017,85.0,12.0,Western Pacific,32365998.0
Mali,2017,1918376.0,1050.0,Africa,20250834.0
Mauritania,2017,20105.0,67.0,Africa,4649660.0
Mauritius,2017,0.0,,Africa,1271767.0
Mexico,2017,736.0,0.0,Americas,128932753.0
Morocco,2017,0.0,,Eastern Mediterranean,36910558.0
Mozambique,2017,8921081.0,1114.0,Africa,31255435.0
Myanmar,2017,19619.0,30.0,South-East Asia,25406.0
Namibia,2017,54268.0,104.0,Africa,2540916.0
Nepal,2017,623.0,3.0,South-East Asia,29136808.0
Nicaragua,2017,10949.0,,Americas,6624554.0
Niger,2017,2638580.0,2316.0,Africa,24206636.0
Nigeria,2017,11571958.0,1000,Africa,206139587.0
Oman,2017,0.0,,Eastern Mediterranean,5106622.0
Pakistan,2017,350467.0,113.0,Eastern Mediterranean,220892331.0
